Emoji,Translation
[群签到]请使用手机QQ进行查看。,[Checkin]
[图片],[Image]
[表情],[Emoji]
[文件],[File]
[动作消息],[Animation]
233{1,20},😂
666{1,20},🙌
笑哭,😂
喷血,🤯
泪奔,😭
托腮,🤔
无奈,😑
斜眼笑,😏
小纠结,😖
无奈,😑
点赞,👍
拍手,👏
幽灵,👻
无聊,😒
骚扰,😠
花痴,😍
偷看,👀
顶呱呱,🐸
拍桌,👋💥
卖萌,😛
托脸,🤦
糊脸,🤷
吃瓜,🍉
吃,🍴
拽炸天,😎
我最美,💁‍♀️
小样儿,🧒
眨眼睛,😉
扇脸,🌬️
掐一掐,👌
飙泪,😢💨
蹭一蹭,🐈
不开心,😞
惊喜,😲
羊驼,🦙
撩一撩,😘
喷脸,💦
生日快乐,🎂
菊花,🌺
佛系,🧘
干杯,🍻
红包,🧧
拜托,🙏
拍头,👋👦
冷漠,😐
开枪,🔫
暴击,💥
嘲讽,😜
呃,😬
大笑,😆
扯一扯,👉👈
颤抖,😰
好棒,👌
恭喜,🎉
害怕,😨
惊呆,😳
扔狗,🐕💨
抱抱,🤗
甩头,💁
头撞击,🤕
舔一舔,😛
啵啵,😚
原谅,💚
滑稽,😜
捂脸,🤦‍♂️
脑阔疼,🤯
辣眼睛,😖
沧桑,👴
哦哟,😧
问号脸,🤔
呵呵哒,😁
我酸了,🍋
加油必胜,💪✨
加油抱抱,💪🤗
加油,💪
暗中观察,🕵️
头秃,👨‍🦲
搬砖中,🧱
忙到飞起,🏃‍♂️💨
太南了,😣
辣椒酱,🌶️
可爱,😊
哼,😤
啃头,👅👱
口罩护体,😷
我不看,🙈
茶,🍵
月,🌙
河蟹,🦀
doge,🐕
蛋,🥚